datetime,close_spy,close_qqq
2020-05-06 05:00:00,284.25,219.0
2020-05-07 05:00:00,287.68,221.82
2020-05-08 05:00:00,292.44,224.86
2020-05-11 05:00:00,292.5,226.87
2020-05-12 05:00:00,286.67,222.12
2020-05-13 05:00:00,281.6,219.34
2020-05-14 05:00:00,284.97,221.83
2020-05-15 05:00:00,286.28,223.27
2020-05-18 05:00:00,295.0,227.43
2020-05-19 05:00:00,291.97,226.86
2020-05-20 05:00:00,296.93,231.39
2020-05-21 05:00:00,294.88,228.87
2020-05-22 05:00:00,295.44,229.66
2020-05-26 05:00:00,299.08,229.04
2020-05-27 05:00:00,303.53,230.29
2020-05-28 05:00:00,302.97,229.99
2020-05-29 05:00:00,304.32,233.36
2020-06-01 05:00:00,305.55,234.06
2020-06-02 05:00:00,308.08,235.63
2020-06-03 05:00:00,312.18,236.69
2020-06-04 05:00:00,311.36,235.03
2020-06-05 05:00:00,319.34,239.69
2020-06-08 05:00:00,323.2,241.55
2020-06-09 05:00:00,320.79,243.3
2020-06-10 05:00:00,319.0,246.22
2020-06-11 05:00:00,300.61,234.02
2020-06-12 05:00:00,304.21,235.88
2020-06-15 05:00:00,307.05,238.75
2020-06-16 05:00:00,312.96,242.85
2020-06-17 05:00:00,311.66,243.62
2020-06-18 05:00:00,311.78,244.28
2020-06-19 05:00:00,308.64,244.24
2020-06-22 05:00:00,310.62,246.74
2020-06-23 05:00:00,312.05,248.84
2020-06-24 05:00:00,304.09,243.71
2020-06-25 05:00:00,307.35,246.03
2020-06-26 05:00:00,300.05,240.22
2020-06-29 05:00:00,304.46,242.84
2020-06-30 05:00:00,308.36,247.6
2020-07-01 05:00:00,310.52,250.49
2020-07-02 05:00:00,312.23,252.19
2020-07-06 05:00:00,317.05,258.39
2020-07-07 05:00:00,313.78,256.61
2020-07-08 05:00:00,316.18,259.99
2020-07-09 05:00:00,314.38,262.18
2020-07-10 05:00:00,317.59,263.97
2020-07-13 05:00:00,314.84,258.54
2020-07-14 05:00:00,318.92,260.37
2020-07-15 05:00:00,321.85,260.9
2020-07-16 05:00:00,320.79,259.12
2020-07-17 05:00:00,321.72,259.42
2020-07-20 05:00:00,324.32,266.78
2020-07-21 05:00:00,325.01,264.0
2020-07-22 05:00:00,326.86,264.93
2020-07-23 05:00:00,322.96,258.01
2020-07-24 05:00:00,320.88,255.56
2020-07-27 05:00:00,323.22,260.12
2020-07-28 05:00:00,321.17,256.81
2020-07-29 05:00:00,325.12,259.77
2020-07-30 05:00:00,323.96,261.13
2020-07-31 05:00:00,326.52,265.79
2020-08-03 05:00:00,328.79,269.38
2020-08-04 05:00:00,330.06,270.38
2020-08-05 05:00:00,332.11,271.05
2020-08-06 05:00:00,334.33,274.64
